==========================================================================
  AI REVENUE RECOVERY AGENT - FULL END-TO-END DEMO RUN (SEED=42)
  Timestamp: 2026-08-24 22:37:46
==========================================================================

[Step 1/5] Resetting database tables...
Database reset complete.

[Step 2/5] Ingesting synthetic datasets (Payments, Checkouts, Subscriptions, Invoices)...
Ingestion complete: Processed records: {'customers': 200, 'payments': 350, 'checkouts': 250, 'subscriptions': 200, 'invoices': 200}

[Step 3/5] Executing Revenue-at-Risk Detection engine...
Detection complete: Created 381 cases representing $376,590.00 at risk.

[Step 4/5] Processing all detected cases (Classify -> Guardrails -> Simulator)...
Retrieved 381 detected recovery cases from database.

Case #001 | Type=FAILED_PAYMENT     | Amount=$ 1171.99 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,171.99) exceeds max auto-approval threshold ($500.00).
Case #012 | Type=FAILED_PAYMENT     | Amount=$   69.92 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #013 | Type=FAILED_PAYMENT     | Amount=$  780.34 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($780.34) exceeds max auto-approval threshold ($500.00).
Case #014 | Type=FAILED_PAYMENT     | Amount=$  663.87 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($663.87) exceeds max auto-approval threshold ($500.00).
Case #015 | Type=FAILED_PAYMENT     | Amount=$  751.86 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($751.86) exceeds max auto-approval threshold ($500.00).
Case #016 | Type=FAILED_PAYMENT     | Amount=$ 1080.73 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,080.73) exceeds max auto-approval threshold ($500.00).
Case #017 | Type=FAILED_PAYMENT     | Amount=$  559.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($559.00) exceeds max auto-approval threshold ($500.00).
Case #018 | Type=FAILED_PAYMENT     | Amount=$  801.25 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($801.25) exceeds max auto-approval threshold ($500.00).
Case #019 | Type=FAILED_PAYMENT     | Amount=$   53.48 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #020 | Type=FAILED_PAYMENT     | Amount=$ 1191.22 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,191.22) exceeds max auto-approval threshold ($500.00).
Case #021 | Type=FAILED_PAYMENT     | Amount=$  562.83 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($562.83) exceeds max auto-approval threshold ($500.00).
Case #022 | Type=FAILED_PAYMENT     | Amount=$ 1082.52 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,082.52) exceeds max auto-approval threshold ($500.00).
Case #023 | Type=FAILED_PAYMENT     | Amount=$  968.87 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($968.87) exceeds max auto-approval threshold ($500.00).
Case #024 | Type=FAILED_PAYMENT     | Amount=$  965.09 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($965.09) exceeds max auto-approval threshold ($500.00).
Case #025 | Type=FAILED_PAYMENT     | Amount=$ 1403.09 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,403.09) exceeds max auto-approval threshold ($500.00).
Case #026 | Type=FAILED_PAYMENT     | Amount=$ 1085.14 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,085.14) exceeds max auto-approval threshold ($500.00).
Case #027 | Type=FAILED_PAYMENT     | Amount=$  618.05 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($618.05) exceeds max auto-approval threshold ($500.00).
Case #028 | Type=FAILED_PAYMENT     | Amount=$  734.11 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($734.11) exceeds max auto-approval threshold ($500.00).
Case #029 | Type=FAILED_PAYMENT     | Amount=$  489.18 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #030 | Type=FAILED_PAYMENT     | Amount=$  172.68 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #031 | Type=FAILED_PAYMENT     | Amount=$  124.19 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #032 | Type=FAILED_PAYMENT     | Amount=$  843.38 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($843.38) exceeds max auto-approval threshold ($500.00).
Case #033 | Type=FAILED_PAYMENT     | Amount=$  488.02 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #034 | Type=FAILED_PAYMENT     | Amount=$  178.19 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #035 | Type=FAILED_PAYMENT     | Amount=$  317.78 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #036 | Type=FAILED_PAYMENT     | Amount=$  785.24 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($785.24) exceeds max auto-approval threshold ($500.00).
Case #037 | Type=FAILED_PAYMENT     | Amount=$  697.60 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($697.60) exceeds max auto-approval threshold ($500.00).
Case #038 | Type=FAILED_PAYMENT     | Amount=$ 1040.01 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,040.01) exceeds max auto-approval threshold ($500.00).
Case #039 | Type=FAILED_PAYMENT     | Amount=$ 1048.81 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,048.81) exceeds max auto-approval threshold ($500.00).
Case #040 | Type=FAILED_PAYMENT     | Amount=$ 1080.28 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,080.28) exceeds max auto-approval threshold ($500.00).
Case #041 | Type=FAILED_PAYMENT     | Amount=$  983.66 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($983.66) exceeds max auto-approval threshold ($500.00).
Case #042 | Type=FAILED_PAYMENT     | Amount=$  724.02 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($724.02) exceeds max auto-approval threshold ($500.00).
Case #043 | Type=FAILED_PAYMENT     | Amount=$ 1431.74 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,431.74) exceeds max auto-approval threshold ($500.00).
Case #044 | Type=FAILED_PAYMENT     | Amount=$  548.93 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($548.93) exceeds max auto-approval threshold ($500.00).
Case #045 | Type=FAILED_PAYMENT     | Amount=$ 1483.42 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,483.42) exceeds max auto-approval threshold ($500.00).
Case #046 | Type=FAILED_PAYMENT     | Amount=$  237.53 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #047 | Type=FAILED_PAYMENT     | Amount=$ 1079.62 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,079.62) exceeds max auto-approval threshold ($500.00).
Case #048 | Type=FAILED_PAYMENT     | Amount=$ 1122.52 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,122.52) exceeds max auto-approval threshold ($500.00).
Case #049 | Type=FAILED_PAYMENT     | Amount=$  282.27 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #050 | Type=FAILED_PAYMENT     | Amount=$ 1313.71 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,313.71) exceeds max auto-approval threshold ($500.00).
Case #051 | Type=FAILED_PAYMENT     | Amount=$  598.69 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($598.69) exceeds max auto-approval threshold ($500.00).
Case #052 | Type=FAILED_PAYMENT     | Amount=$ 1407.05 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,407.05) exceeds max auto-approval threshold ($500.00).
Case #053 | Type=FAILED_PAYMENT     | Amount=$  677.96 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($677.96) exceeds max auto-approval threshold ($500.00).
Case #054 | Type=FAILED_PAYMENT     | Amount=$  393.67 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #055 | Type=FAILED_PAYMENT     | Amount=$  834.84 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($834.84) exceeds max auto-approval threshold ($500.00).
Case #056 | Type=FAILED_PAYMENT     | Amount=$  712.19 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($712.19) exceeds max auto-approval threshold ($500.00).
Case #057 | Type=FAILED_PAYMENT     | Amount=$  850.35 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($850.35) exceeds max auto-approval threshold ($500.00).
Case #058 | Type=FAILED_PAYMENT     | Amount=$  875.03 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($875.03) exceeds max auto-approval threshold ($500.00).
Case #059 | Type=FAILED_PAYMENT     | Amount=$  861.14 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($861.14) exceeds max auto-approval threshold ($500.00).
Case #060 | Type=FAILED_PAYMENT     | Amount=$  239.28 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #061 | Type=FAILED_PAYMENT     | Amount=$ 1005.13 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,005.13) exceeds max auto-approval threshold ($500.00).
Case #062 | Type=FAILED_PAYMENT     | Amount=$  625.84 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($625.84) exceeds max auto-approval threshold ($500.00).
Case #063 | Type=FAILED_PAYMENT     | Amount=$  411.98 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #064 | Type=FAILED_PAYMENT     | Amount=$   98.33 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #065 | Type=FAILED_PAYMENT     | Amount=$  856.54 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($856.54) exceeds max auto-approval threshold ($500.00).
Case #066 | Type=FAILED_PAYMENT     | Amount=$  222.83 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #067 | Type=FAILED_PAYMENT     | Amount=$  359.73 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #068 | Type=FAILED_PAYMENT     | Amount=$  675.43 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($675.43) exceeds max auto-approval threshold ($500.00).
Case #069 | Type=FAILED_PAYMENT     | Amount=$  842.12 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($842.12) exceeds max auto-approval threshold ($500.00).
Case #070 | Type=FAILED_PAYMENT     | Amount=$  901.43 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($901.43) exceeds max auto-approval threshold ($500.00).
Case #071 | Type=FAILED_PAYMENT     | Amount=$ 1172.07 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,172.07) exceeds max auto-approval threshold ($500.00).
Case #072 | Type=FAILED_PAYMENT     | Amount=$  660.49 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($660.49) exceeds max auto-approval threshold ($500.00).
Case #073 | Type=FAILED_PAYMENT     | Amount=$ 1085.54 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,085.54) exceeds max auto-approval threshold ($500.00).
Case #074 | Type=FAILED_PAYMENT     | Amount=$  954.86 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($954.86) exceeds max auto-approval threshold ($500.00).
Case #075 | Type=FAILED_PAYMENT     | Amount=$  726.66 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($726.66) exceeds max auto-approval threshold ($500.00).
Case #076 | Type=FAILED_PAYMENT     | Amount=$   80.78 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #077 | Type=FAILED_PAYMENT     | Amount=$  399.23 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #078 | Type=FAILED_PAYMENT     | Amount=$ 1382.01 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,382.01) exceeds max auto-approval threshold ($500.00).
Case #079 | Type=FAILED_PAYMENT     | Amount=$  691.17 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($691.17) exceeds max auto-approval threshold ($500.00).
Case #080 | Type=FAILED_PAYMENT     | Amount=$  185.90 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #081 | Type=FAILED_PAYMENT     | Amount=$  648.16 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($648.16) exceeds max auto-approval threshold ($500.00).
Case #082 | Type=FAILED_PAYMENT     | Amount=$  991.10 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($991.10) exceeds max auto-approval threshold ($500.00).
Case #083 | Type=FAILED_PAYMENT     | Amount=$ 1132.20 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,132.20) exceeds max auto-approval threshold ($500.00).
Case #084 | Type=FAILED_PAYMENT     | Amount=$  307.66 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #085 | Type=FAILED_PAYMENT     | Amount=$ 1270.59 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,270.59) exceeds max auto-approval threshold ($500.00).
Case #086 | Type=FAILED_PAYMENT     | Amount=$  188.67 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #087 | Type=FAILED_PAYMENT     | Amount=$  219.73 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #088 | Type=FAILED_PAYMENT     | Amount=$  482.15 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #089 | Type=FAILED_PAYMENT     | Amount=$  813.35 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($813.35) exceeds max auto-approval threshold ($500.00).
Case #090 | Type=FAILED_PAYMENT     | Amount=$  449.56 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #091 | Type=FAILED_PAYMENT     | Amount=$ 1145.79 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,145.79) exceeds max auto-approval threshold ($500.00).
Case #092 | Type=FAILED_PAYMENT     | Amount=$ 1239.90 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,239.90) exceeds max auto-approval threshold ($500.00).
Case #093 | Type=FAILED_PAYMENT     | Amount=$  208.93 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #094 | Type=FAILED_PAYMENT     | Amount=$ 1001.80 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,001.80) exceeds max auto-approval threshold ($500.00).
Case #095 | Type=FAILED_PAYMENT     | Amount=$ 1136.52 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,136.52) exceeds max auto-approval threshold ($500.00).
Case #096 | Type=FAILED_PAYMENT     | Amount=$  723.06 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($723.06) exceeds max auto-approval threshold ($500.00).
Case #097 | Type=FAILED_PAYMENT     | Amount=$  967.74 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($967.74) exceeds max auto-approval threshold ($500.00).
Case #098 | Type=FAILED_PAYMENT     | Amount=$  258.71 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #099 | Type=FAILED_PAYMENT     | Amount=$  482.04 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #100 | Type=FAILED_PAYMENT     | Amount=$  907.48 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($907.48) exceeds max auto-approval threshold ($500.00).
Case #101 | Type=FAILED_PAYMENT     | Amount=$  639.98 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($639.98) exceeds max auto-approval threshold ($500.00).
Case #102 | Type=FAILED_PAYMENT     | Amount=$  115.29 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #103 | Type=FAILED_PAYMENT     | Amount=$  919.12 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($919.12) exceeds max auto-approval threshold ($500.00).
Case #104 | Type=FAILED_PAYMENT     | Amount=$  393.85 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #105 | Type=FAILED_PAYMENT     | Amount=$  583.72 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($583.72) exceeds max auto-approval threshold ($500.00).
Case #106 | Type=FAILED_PAYMENT     | Amount=$ 1014.89 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,014.89) exceeds max auto-approval threshold ($500.00).
Case #107 | Type=FAILED_PAYMENT     | Amount=$  852.25 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($852.25) exceeds max auto-approval threshold ($500.00).
Case #108 | Type=FAILED_PAYMENT     | Amount=$  529.44 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($529.44) exceeds max auto-approval threshold ($500.00).
Case #109 | Type=FAILED_PAYMENT     | Amount=$ 1347.47 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,347.47) exceeds max auto-approval threshold ($500.00).
Case #110 | Type=FAILED_PAYMENT     | Amount=$ 1278.61 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,278.61) exceeds max auto-approval threshold ($500.00).
Case #111 | Type=FAILED_PAYMENT     | Amount=$  361.91 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #112 | Type=FAILED_PAYMENT     | Amount=$  682.61 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($682.61) exceeds max auto-approval threshold ($500.00).
Case #113 | Type=FAILED_PAYMENT     | Amount=$  686.10 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($686.10) exceeds max auto-approval threshold ($500.00).
Case #114 | Type=FAILED_PAYMENT     | Amount=$  466.76 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #115 | Type=FAILED_PAYMENT     | Amount=$ 1453.07 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,453.07) exceeds max auto-approval threshold ($500.00).
Case #116 | Type=FAILED_PAYMENT     | Amount=$   61.16 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #117 | Type=FAILED_PAYMENT     | Amount=$  209.11 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #118 | Type=FAILED_PAYMENT     | Amount=$  658.24 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($658.24) exceeds max auto-approval threshold ($500.00).
Case #119 | Type=FAILED_PAYMENT     | Amount=$   66.45 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #120 | Type=FAILED_PAYMENT     | Amount=$  969.34 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($969.34) exceeds max auto-approval threshold ($500.00).
Case #121 | Type=FAILED_PAYMENT     | Amount=$  761.05 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($761.05) exceeds max auto-approval threshold ($500.00).
Case #122 | Type=FAILED_PAYMENT     | Amount=$   58.52 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #123 | Type=FAILED_PAYMENT     | Amount=$ 1499.41 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,499.41) exceeds max auto-approval threshold ($500.00).
