id,external_id,customer_id,amount_due,currency,status,days_overdue,due_date,created_at
27,inv_27,131,633.08,USD,PAID,0,2025-11-12T00:00:00+00:00,2025-10-13T00:00:00+00:00
28,inv_28,125,2728.07,USD,PAID,0,2025-11-07T00:00:00+00:00,2025-10-08T00:00:00+00:00
29,inv_29,51,2371.23,USD,PAID,0,2025-12-01T00:00:00+00:00,2025-11-01T00:00:00+00:00
30,inv_30,183,4623.01,USD,OVERDUE,32,2025-11-11T00:00:00+00:00,2025-10-12T00:00:00+00:00
31,inv_31,86,3760.29,USD,PAID,0,2025-11-02T00:00:00+00:00,2025-10-03T00:00:00+00:00
32,inv_32,89,1873.58,USD,PAID,0,2025-11-11T00:00:00+00:00,2025-10-12T00:00:00+00:00
33,inv_33,61,4896.15,USD,PAID,0,2025-11-10T00:00:00+00:00,2025-10-11T00:00:00+00:00
34,inv_34,16,4411.58,USD,PAID,0,2025-11-30T00:00:00+00:00,2025-10-31T00:00:00+00:00
35,inv_35,8,4753.21,USD,PAID,0,2025-11-09T00:00:00+00:00,2025-10-10T00:00:00+00:00
36,inv_36,39,3336.12,USD,OVERDUE,51,2025-11-04T00:00:00+00:00,2025-10-05T00:00:00+00:00
37,inv_37,187,3120.37,USD,OVERDUE,87,2025-11-22T00:00:00+00:00,2025-10-23T00:00:00+00:00
38,inv_38,176,2928.56,USD,OVERDUE,31,2025-11-15T00:00:00+00:00,2025-10-16T00:00:00+00:00
39,inv_39,80,1747.03,USD,PAID,0,2025-11-19T00:00:00+00:00,2025-10-20T00:00:00+00:00
40,inv_40,34,2968.0,USD,OVERDUE,18,2025-11-23T00:00:00+00:00,2025-10-24T00:00:00+00:00
41,inv_41,52,1648.64,USD,PAID,0,2025-11-24T00:00:00+00:00,2025-10-25T00:00:00+00:00
42,inv_42,135,2235.81,USD,PAID,0,2025-12-01T00:00:00+00:00,2025-11-01T00:00:00+00:00
43,inv_43,198,4597.99,USD,OVERDUE,73,2025-11-12T00:00:00+00:00,2025-10-13T00:00:00+00:00
44,inv_44,18,4750.72,USD,PAID,0,2025-11-05T00:00:00+00:00,2025-10-06T00:00:00+00:00
45,inv_45,48,3676.34,USD,OVERDUE,19,2025-11-26T00:00:00+00:00,2025-10-27T00:00:00+00:00
46,inv_46,82,2158.09,USD,PAID,0,2025-11-15T00:00:00+00:00,2025-10-16T00:00:00+00:00
47,inv_47,78,4678.78,USD,PAID,0,2025-11-30T00:00:00+00:00,2025-10-31T00:00:00+00:00
48,inv_48,164,1477.91,USD,PAID,0,2025-11-26T00:00:00+00:00,2025-10-27T00:00:00+00:00
49,inv_49,49,277.06,USD,OVERDUE,24,2025-11-21T00:00:00+00:00,2025-10-22T00:00:00+00:00
50,inv_50,158,3119.96,USD,OVERDUE,73,2025-11-21T00:00:00+00:00,2025-10-22T00:00:00+00:00
51,inv_51,60,1892.42,USD,OVERDUE,4,2025-11-24T00:00:00+00:00,2025-10-25T00:00:00+00:00
52,inv_52,200,2586.27,USD,PAID,0,2025-11-21T00:00:00+00:00,2025-10-22T00:00:00+00:00
53,inv_53,121,1963.7,USD,PAID,0,2025-11-29T00:00:00+00:00,2025-10-30T00:00:00+00:00
54,inv_54,100,816.94,USD,PAID,0,2025-11-08T00:00:00+00:00,2025-10-09T00:00:00+00:00
55,inv_55,58,4638.36,USD,OVERDUE,2,2025-12-02T00:00:00+00:00,2025-11-02T00:00:00+00:00
56,inv_56,106,4942.98,USD,OVERDUE,86,2025-11-26T00:00:00+00:00,2025-10-27T00:00:00+00:00
57,inv_57,53,4355.58,USD,OVERDUE,57,2025-11-17T00:00:00+00:00,2025-10-18T00:00:00+00:00
58,inv_58,177,4454.8,USD,OVERDUE,59,2025-11-15T00:00:00+00:00,2025-10-16T00:00:00+00:00
59,inv_59,104,3098.46,USD,PAID,0,2025-11-28T00:00:00+00:00,2025-10-29T00:00:00+00:00
60,inv_60,98,2061.63,USD,PAID,0,2025-12-02T00:00:00+00:00,2025-11-02T00:00:00+00:00
61,inv_61,191,2750.37,USD,PAID,0,2025-11-22T00:00:00+00:00,2025-10-23T00:00:00+00:00
62,inv_62,181,2675.15,USD,PAID,0,2025-11-16T00:00:00+00:00,2025-10-17T00:00:00+00:00
63,inv_63,117,355.72,USD,PAID,0,2025-11-09T00:00:00+00:00,2025-10-10T00:00:00+00:00
64,inv_64,133,4921.58,USD,PAID,0,2025-11-03T00:00:00+00:00,2025-10-04T00:00:00+00:00
65,inv_65,143,4818.57,USD,OVERDUE,81,2025-11-08T00:00:00+00:00,2025-10-09T00:00:00+00:00
66,inv_66,75,4439.33,USD,PAID,0,2025-11-26T00:00:00+00:00,2025-10-27T00:00:00+00:00
67,inv_67,74,2198.94,USD,PAID,0,2025-11-21T00:00:00+00:00,2025-10-22T00:00:00+00:00
68,inv_68,14,4532.83,USD,PAID,0,2025-11-16T00:00:00+00:00,2025-10-17T00:00:00+00:00
69,inv_69,166,3654.84,USD,PAID,0,2025-11-05T00:00:00+00:00,2025-10-06T00:00:00+00:00
70,inv_70,47,4698.54,USD,PAID,0,2025-11-24T00:00:00+00:00,2025-10-25T00:00:00+00:00
71,inv_71,140,1718.79,USD,OVERDUE,53,2025-11-02T00:00:00+00:00,2025-10-03T00:00:00+00:00
72,inv_72,46,4498.59,USD,PAID,0,2025-11-30T00:00:00+00:00,2025-10-31T00:00:00+00:00
73,inv_73,52,587.37,USD,PAID,0,2025-11-12T00:00:00+00:00,2025-10-13T00:00:00+00:00
74,inv_74,178,3600.63,USD,PAID,0,2025-11-07T00:00:00+00:00,2025-10-08T00:00:00+00:00
75,inv_75,184,592.28,USD,PAID,0,2025-11-24T00:00:00+00:00,2025-10-25T00:00:00+00:00
76,inv_76,116,563.74,USD,PAID,0,2025-11-24T00:00:00+00:00,2025-10-25T00:00:00+00:00
77,inv_77,99,4879.68,USD,PAID,0,2025-11-21T00:00:00+00:00,2025-10-22T00:00:00+00:00
78,inv_78,41,362.94,USD,OVERDUE,49,2025-11-07T00:00:00+00:00,2025-10-08T00:00:00+00:00
79,inv_79,86,3348.72,USD,PAID,0,2025-11-06T00:00:00+00:00,2025-10-07T00:00:00+00:00
80,inv_80,42,1017.5,USD,PAID,0,2025-11-24T00:00:00+00:00,2025-10-25T00:00:00+00:00
81,inv_81,14,1651.16,USD,PAID,0,2025-11-26T00:00:00+00:00,2025-10-27T00:00:00+00:00
82,inv_82,115,720.14,USD,OVERDUE,24,2025-11-06T00:00:00+00:00,2025-10-07T00:00:00+00:00
83,inv_83,52,209.21,USD,OVERDUE,33,2025-11-17T00:00:00+00:00,2025-10-18T00:00:00+00:00
84,inv_84,128,177.89,USD,PAID,0,2025-11-30T00:00:00+00:00,2025-10-31T00:00:00+00:00
85,inv_85,127,3348.43,USD,OVERDUE,76,2025-11-16T00:00:00+00:00,2025-10-17T00:00:00+00:00
86,inv_86,105,3065.9,USD,PAID,0,2025-11-02T00:00:00+00:00,2025-10-03T00:00:00+00:00
87,inv_87,63,1498.85,USD,PAID,0,2025-11-22T00:00:00+00:00,2025-10-23T00:00:00+00:00
88,inv_88,143,1157.04,USD,PAID,0,2025-11-07T00:00:00+00:00,2025-10-08T00:00:00+00:00
89,inv_89,38,328.1,USD,OVERDUE,45,2025-11-29T00:00:00+00:00,2025-10-30T00:00:00+00:00
90,inv_90,9,4214.37,USD,PAID,0,2025-11-11T00:00:00+00:00,2025-10-12T00:00:00+00:00
91,inv_91,85,387.8,USD,PAID,0,2025-11-15T00:00:00+00:00,2025-10-16T00:00:00+00:00
92,inv_92,46,3113.79,USD,OVERDUE,37,2025-11-24T00:00:00+00:00,2025-10-25T00:00:00+00:00
93,inv_93,180,3968.44,USD,PAID,0,2025-11-07T00:00:00+00:00,2025-10-08T00:00:00+00:00
94,inv_94,117,1896.91,USD,PAID,0,2025-11-03T00:00:00+00:00,2025-10-04T00:00:00+00:00
95,inv_95,24,1715.69,USD,PAID,0,2025-11-30T00:00:00+00:00,2025-10-31T00:00:00+00:00
96,inv_96,98,3828.44,USD,PAID,0,2025-11-28T00:00:00+00:00,2025-10-29T00:00:00+00:00
97,inv_97,141,802.55,USD,OVERDUE,61,2025-11-24T00:00:00+00:00,2025-10-25T00:00:00+00:00
98,inv_98,71,2694.53,USD,OVERDUE,53,2025-11-24T00:00:00+00:00,2025-10-25T00:00:00+00:00
99,inv_99,54,680.12,USD,PAID,0,2025-11-25T00:00:00+00:00,2025-10-26T00:00:00+00:00
100,inv_100,162,575.2,USD,PAID,0,2025-11-25T00:00:00+00:00,2025-10-26T00:00:00+00:00
101,inv_101,177,3972.7,USD,PAID,0,2025-11-24T00:00:00+00:00,2025-10-25T00:00:00+00:00
102,inv_102,74,4261.82,USD,PAID,0,2025-11-10T00:00:00+00:00,2025-10-11T00:00:00+00:00
103,inv_103,135,3172.73,USD,PAID,0,2025-12-01T00:00:00+00:00,2025-11-01T00:00:00+00:00
104,inv_104,34,2557.53,USD,PAID,0,2025-11-25T00:00:00+00:00,2025-10-26T00:00:00+00:00
105,inv_105,162,4068.7,USD,PAID,0,2025-11-30T00:00:00+00:00,2025-10-31T00:00:00+00:00
106,inv_106,157,4899.4,USD,OVERDUE,38,2025-11-02T00:00:00+00:00,2025-10-03T00:00:00+00:00
107,inv_107,31,4014.15,USD,OVERDUE,81,2025-11-25T00:00:00+00:00,2025-10-26T00:00:00+00:00
108,inv_108,54,4995.09,USD,PAID,0,2025-11-15T00:00:00+00:00,2025-10-16T00:00:00+00:00
109,inv_109,12,4059.31,USD,OVERDUE,72,2025-11-08T00:00:00+00:00,2025-10-09T00:00:00+00:00
110,inv_110,3,3496.58,USD,PAID,0,2025-11-10T00:00:00+00:00,2025-10-11T00:00:00+00:00
111,inv_111,18,2817.47,USD,OVERDUE,65,2025-11-26T00:00:00+00:00,2025-10-27T00:00:00+00:00
112,inv_112,2,1805.6,USD,OVERDUE,43,2025-11-25T00:00:00+00:00,2025-10-26T00:00:00+00:00
113,inv_113,146,291.22,USD,PAID,0,2025-11-07T00:00:00+00:00,2025-10-08T00:00:00+00:00
114,inv_114,50,4623.06,USD,OVERDUE,44,2025-11-17T00:00:00+00:00,2025-10-18T00:00:00+00:00
115,inv_115,122,3281.41,USD,PAID,0,2025-11-17T00:00:00+00:00,2025-10-18T00:00:00+00:00
116,inv_116,40,4476.48,USD,PAID,0,2025-11-19T00:00:00+00:00,2025-10-20T00:00:00+00:00
117,inv_117,86,4098.71,USD,PAID,0,2025-12-01T00:00:00+00:00,2025-11-01T00:00:00+00:00
118,inv_118,191,1601.82,USD,OVERDUE,67,2025-11-25T00:00:00+00:00,2025-10-26T00:00:00+00:00
119,inv_119,174,240.78,USD,OVERDUE,69,2025-11-20T00:00:00+00:00,2025-10-21T00:00:00+00:00
120,inv_120,176,471.13,USD,OVERDUE,46,2025-11-06T00:00:00+00:00,2025-10-07T00:00:00+00:00
121,inv_121,72,1794.89,USD,PAID,0,2025-11-14T00:00:00+00:00,2025-10-15T00:00:00+00:00
122,inv_122,161,954.95,USD,PAID,0,2025-11-21T00:00:00+00:00,2025-10-22T00:00:00+00:00
123,inv_123,100,4343.28,USD,OVERDUE,15,2025-11-26T00:00:00+00:00,2025-10-27T00:00:00+00:00
124,inv_124,79,1675.32,USD,PAID,0,2025-11-03T00:00:00+00:00,2025-10-04T00:00:00+00:00
125,inv_125,70,2560.71,USD,PAID,0,2025-11-09T00:00:00+00:00,2025-10-10T00:00:00+00:00
126,inv_126,96,4761.02,USD,PAID,0,2025-11-08T00:00:00+00:00,2025-10-09T00:00:00+00:00
127,inv_127,135,1964.95,USD,OVERDUE,15,2025-11-03T00:00:00+00:00,2025-10-04T00:00:00+00:00
128,inv_128,200,2302.3,USD,OVERDUE,12,2025-11-02T00:00:00+00:00,2025-10-03T00:00:00+00:00
129,inv_129,124,897.28,USD,PAID,0,2025-11-12T00:00:00+00:00,2025-10-13T00:00:00+00:00
130,inv_130,124,2689.6,USD,PAID,0,2025-11-26T00:00:00+00:00,2025-10-27T00:00:00+00:00
131,inv_131,84,4137.37,USD,OVERDUE,13,2025-12-02T00:00:00+00:00,2025-11-02T00:00:00+00:00
132,inv_132,133,793.68,USD,PAID,0,2025-11-25T00:00:00+00:00,2025-10-26T00:00:00+00:00
133,inv_133,10,3611.34,USD,PAID,0,2025-11-18T00:00:00+00:00,2025-10-19T00:00:00+00:00
134,inv_134,30,3482.2,USD,OVERDUE,6,2025-11-21T00:00:00+00:00,2025-10-22T00:00:00+00:00
135,inv_135,23,650.05,USD,OVERDUE,6,2025-11-26T00:00:00+00:00,2025-10-27T00:00:00+00:00
136,inv_136,169,259.03,USD,PAID,0,2025-11-26T00:00:00+00:00,2025-10-27T00:00:00+00:00
137,inv_137,80,1167.75,USD,PAID,0,2025-11-08T00:00:00+00:00,2025-10-09T00:00:00+00:00
138,inv_138,50,1697.88,USD,OVERDUE,69,2025-11-16T00:00:00+00:00,2025-10-17T00:00:00+00:00
139,inv_139,172,913.86,USD,OVERDUE,20,2025-11-05T00:00:00+00:00,2025-10-06T00:00:00+00:00
140,inv_140,4,2864.18,USD,PAID,0,2025-11-05T00:00:00+00:00,2025-10-06T00:00:00+00:00
141,inv_141,53,2814.42,USD,PAID,0,2025-11-10T00:00:00+00:00,2025-10-11T00:00:00+00:00
142,inv_142,37,4049.41,USD,PAID,0,2025-11-20T00:00:00+00:00,2025-10-21T00:00:00+00:00
143,inv_143,63,3124.32,USD,OVERDUE,40,2025-11-12T00:00:00+00:00,2025-10-13T00:00:00+00:00
144,inv_144,139,780.86,USD,PAID,0,2025-11-17T00:00:00+00:00,2025-10-18T00:00:00+00:00
145,inv_145,173,410.93,USD,OVERDUE,50,2025-11-15T00:00:00+00:00,2025-10-16T00:00:00+00:00
146,inv_146,101,4472.69,USD,OVERDUE,77,2025-11-22T00:00:00+00:00,2025-10-23T00:00:00+00:00
147,inv_147,177,3139.13,USD,PAID,0,2025-11-11T00:00:00+00:00,2025-10-12T00:00:00+00:00
148,inv_148,86,3607.56,USD,PAID,0,2025-11-23T00:00:00+00:00,2025-10-24T00:00:00+00:00
149,inv_149,137,2903.78,USD,OVERDUE,60,2025-11-04T00:00:00+00:00,2025-10-05T00:00:00+00:00
150,inv_150,179,2359.58,USD,PAID,0,2025-11-23T00:00:00+00:00,2025-10-24T00:00:00+00:00
151,inv_151,165,2407.17,USD,PAID,0,2025-11-09T00:00:00+00:00,2025-10-10T00:00:00+00:00
152,inv_152,58,1401.56,USD,OVERDUE,79,2025-11-13T00:00:00+00:00,2025-10-14T00:00:00+00:00
153,inv_153,101,1752.09,USD,OVERDUE,86,2025-11-29T00:00:00+00:00,2025-10-30T00:00:00+00:00
154,inv_154,84,296.78,USD,PAID,0,2025-11-17T00:00:00+00:00,2025-10-18T00:00:00+00:00
155,inv_155,29,4251.97,USD,OVERDUE,60,2025-11-11T00:00:00+00:00,2025-10-12T00:00:00+00:00
156,inv_156,197,767.86,USD,OVERDUE,74,2025-11-05T00:00:00+00:00,2025-10-06T00:00:00+00:00
157,inv_157,104,4014.28,USD,PAID,0,2025-11-12T00:00:00+00:00,2025-10-13T00:00:00+00:00
158,inv_158,143,3993.29,USD,PAID,0,2025-11-19T00:00:00+00:00,2025-10-20T00:00:00+00:00
159,inv_159,119,2155.19,USD,PAID,0,2025-11-21T00:00:00+00:00,2025-10-22T00:00:00+00:00
160,inv_160,63,4873.37,USD,PAID,0,2025-11-14T00:00:00+00:00,2025-10-15T00:00:00+00:00
161,inv_161,17,3016.21,USD,OVERDUE,89,2025-11-27T00:00:00+00:00,2025-10-28T00:00:00+00:00
162,inv_162,112,1809.67,USD,PAID,0,2025-11-24T00:00:00+00:00,2025-10-25T00:00:00+00:00
163,inv_163,61,527.79,USD,OVERDUE,86,2025-12-01T00:00:00+00:00,2025-11-01T00:00:00+00:00
164,inv_164,183,2510.16,USD,PAID,0,2025-11-20T00:00:00+00:00,2025-10-21T00:00:00+00:00
165,inv_165,153,2842.18,USD,PAID,0,2025-11-28T00:00:00+00:00,2025-10-29T00:00:00+00:00
166,inv_166,114,487.6,USD,OVERDUE,52,2025-11-05T00:00:00+00:00,2025-10-06T00:00:00+00:00
167,inv_167,176,3891.02,USD,PAID,0,2025-11-14T00:00:00+00:00,2025-10-15T00:00:00+00:00
168,inv_168,84,3351.8,USD,PAID,0,2025-11-04T00:00:00+00:00,2025-10-05T00:00:00+00:00
169,inv_169,56,4453.22,USD,PAID,0,2025-11-30T00:00:00+00:00,2025-10-31T00:00:00+00:00
170,inv_170,194,150.89,USD,PAID,0,2025-11-06T00:00:00+00:00,2025-10-07T00:00:00+00:00
171,inv_171,170,1563.79,USD,OVERDUE,69,2025-11-21T00:00:00+00:00,2025-10-22T00:00:00+00:00
172,inv_172,148,1147.46,USD,PAID,0,2025-11-30T00:00:00+00:00,2025-10-31T00:00:00+00:00
173,inv_173,82,1627.07,USD,OVERDUE,87,2025-12-02T00:00:00+00:00,2025-11-02T00:00:00+00:00
174,inv_174,112,4588.32,USD,PAID,0,2025-11-04T00:00:00+00:00,2025-10-05T00:00:00+00:00
175,inv_175,150,2110.36,USD,OVERDUE,66,2025-11-06T00:00:00+00:00,2025-10-07T00:00:00+00:00
176,inv_176,76,4844.31,USD,OVERDUE,71,2025-11-02T00:00:00+00:00,2025-10-03T00:00:00+00:00
177,inv_177,181,4896.68,USD,PAID,0,2025-11-05T00:00:00+00:00,2025-10-06T00:00:00+00:00
178,inv_178,73,1290.92,USD,PAID,0,2025-11-24T00:00:00+00:00,2025-10-25T00:00:00+00:00
179,inv_179,152,3602.1,USD,OVERDUE,41,2025-11-14T00:00:00+00:00,2025-10-15T00:00:00+00:00
180,inv_180,98,1174.4,USD,PAID,0,2025-11-07T00:00:00+00:00,2025-10-08T00:00:00+00:00
181,inv_181,122,2015.29,USD,OVERDUE,72,2025-12-01T00:00:00+00:00,2025-11-01T00:00:00+00:00
182,inv_182,93,898.2,USD,PAID,0,2025-11-29T00:00:00+00:00,2025-10-30T00:00:00+00:00
183,inv_183,172,497.97,USD,OVERDUE,2,2025-11-02T00:00:00+00:00,2025-10-03T00:00:00+00:00
184,inv_184,37,2510.5,USD,PAID,0,2025-11-15T00:00:00+00:00,2025-10-16T00:00:00+00:00
185,inv_185,35,4058.82,USD,OVERDUE,83,2025-11-29T00:00:00+00:00,2025-10-30T00:00:00+00:00
186,inv_186,117,3522.64,USD,PAID,0,2025-12-01T00:00:00+00:00,2025-11-01T00:00:00+00:00
187,inv_187,109,2353.81,USD,PAID,0,2025-11-15T00:00:00+00:00,2025-10-16T00:00:00+00:00
188,inv_188,142,2015.87,USD,PAID,0,2025-11-09T00:00:00+00:00,2025-10-10T00:00:00+00:00
189,inv_189,48,186.04,USD,PAID,0,2025-11-17T00:00:00+00:00,2025-10-18T00:00:00+00:00
190,inv_190,188,1455.86,USD,OVERDUE,65,2025-12-01T00:00:00+00:00,2025-11-01T00:00:00+00:00
191,inv_191,140,312.29,USD,PAID,0,2025-11-03T00:00:00+00:00,2025-10-04T00:00:00+00:00
192,inv_192,146,1937.61,USD,PAID,0,2025-11-20T00:00:00+00:00,2025-10-21T00:00:00+00:00
193,inv_193,124,538.31,USD,PAID,0,2025-11-25T00:00:00+00:00,2025-10-26T00:00:00+00:00
194,inv_194,188,4317.85,USD,PAID,0,2025-11-26T00:00:00+00:00,2025-10-27T00:00:00+00:00
195,inv_195,200,529.44,USD,OVERDUE,67,2025-11-30T00:00:00+00:00,2025-10-31T00:00:00+00:00
196,inv_196,157,3208.71,USD,OVERDUE,61,2025-11-23T00:00:00+00:00,2025-10-24T00:00:00+00:00
197,inv_197,172,2765.11,USD,OVERDUE,82,2025-11-20T00:00:00+00:00,2025-10-21T00:00:00+00:00
198,inv_198,80,4532.39,USD,PAID,0,2025-11-19T00:00:00+00:00,2025-10-20T00:00:00+00:00
199,inv_199,200,2636.42,USD,OVERDUE,59,2025-11-17T00:00:00+00:00,2025-10-18T00:00:00+00:00
200,inv_200,147,2191.93,USD,PAID,0,2025-12-02T00:00:00+00:00,2025-11-02T00:00:00+00:00
