id,external_id,customer_id,cart_value,currency,status,abandoned_step,created_at
29,chk_29,50,117.08,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-30T13:00:00+00:00
30,chk_30,52,761.99,USD,COMPLETED,,2025-12-25T08:00:00+00:00
31,chk_31,82,1099.15,USD,COMPLETED,,2025-11-21T02:00:00+00:00
32,chk_32,100,673.66,USD,COMPLETED,,2025-12-04T16:00:00+00:00
33,chk_33,118,39.53,USD,COMPLETED,,2025-12-31T19:00:00+00:00
34,chk_34,151,518.02,USD,COMPLETED,,2025-12-13T04:00:00+00:00
35,chk_35,38,709.65,USD,COMPLETED,,2025-11-23T03:00:00+00:00
36,chk_36,145,948.25,USD,COMPLETED,,2025-12-21T11:00:00+00:00
37,chk_37,106,595.56,USD,ABANDONED,CART_REVIEW,2025-12-25T15:00:00+00:00
38,chk_38,10,194.03,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-25T21:00:00+00:00
39,chk_39,178,1070.25,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-08T22:00:00+00:00
40,chk_40,61,1106.98,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-10T00:00:00+00:00
41,chk_41,87,381.09,USD,COMPLETED,,2025-12-04T15:00:00+00:00
42,chk_42,179,1167.68,USD,COMPLETED,,2025-12-01T04:00:00+00:00
43,chk_43,77,545.65,USD,COMPLETED,,2025-12-07T08:00:00+00:00
44,chk_44,187,129.91,USD,ABANDONED,CART_REVIEW,2025-12-15T06:00:00+00:00
45,chk_45,105,917.4,USD,COMPLETED,,2025-12-10T01:00:00+00:00
46,chk_46,132,102.1,USD,COMPLETED,,2026-01-01T16:00:00+00:00
47,chk_47,104,1058.22,USD,ABANDONED,CART_REVIEW,2025-11-18T05:00:00+00:00
48,chk_48,50,260.85,USD,COMPLETED,,2025-11-20T07:00:00+00:00
49,chk_49,9,1103.69,USD,COMPLETED,,2026-01-01T06:00:00+00:00
50,chk_50,71,618.52,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-27T03:00:00+00:00
51,chk_51,175,599.32,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-15T05:00:00+00:00
52,chk_52,122,435.97,USD,COMPLETED,,2025-11-27T08:00:00+00:00
53,chk_53,192,131.21,USD,COMPLETED,,2025-11-18T12:00:00+00:00
54,chk_54,13,941.3,USD,ABANDONED,CART_REVIEW,2025-11-30T07:00:00+00:00
55,chk_55,166,341.17,USD,ABANDONED,PAYMENT_METHOD,2025-12-13T16:00:00+00:00
56,chk_56,6,1161.39,USD,COMPLETED,,2025-12-30T00:00:00+00:00
57,chk_57,122,785.66,USD,COMPLETED,,2025-12-25T00:00:00+00:00
58,chk_58,58,862.47,USD,ABANDONED,SHIPPING_ADDRESS,2026-01-01T20:00:00+00:00
59,chk_59,71,1025.61,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-16T08:00:00+00:00
60,chk_60,56,820.71,USD,COMPLETED,,2025-12-26T12:00:00+00:00
61,chk_61,150,1199.33,USD,ABANDONED,CART_REVIEW,2025-12-10T17:00:00+00:00
62,chk_62,166,357.15,USD,COMPLETED,,2025-12-30T03:00:00+00:00
63,chk_63,124,777.7,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-04T08:00:00+00:00
64,chk_64,168,1073.54,USD,COMPLETED,,2025-12-06T06:00:00+00:00
65,chk_65,39,307.35,USD,COMPLETED,,2025-11-20T19:00:00+00:00
66,chk_66,104,824.89,USD,COMPLETED,,2025-11-18T20:00:00+00:00
67,chk_67,128,329.83,USD,COMPLETED,,2025-12-13T12:00:00+00:00
68,chk_68,100,710.05,USD,COMPLETED,,2025-12-23T06:00:00+00:00
69,chk_69,88,286.28,USD,COMPLETED,,2025-12-21T20:00:00+00:00
70,chk_70,122,814.45,USD,COMPLETED,,2025-12-19T09:00:00+00:00
71,chk_71,44,1054.88,USD,COMPLETED,,2025-11-28T09:00:00+00:00
72,chk_72,25,895.58,USD,COMPLETED,,2025-12-22T05:00:00+00:00
73,chk_73,175,793.96,USD,COMPLETED,,2025-12-01T11:00:00+00:00
74,chk_74,58,385.83,USD,COMPLETED,,2025-12-08T11:00:00+00:00
75,chk_75,67,569.92,USD,COMPLETED,,2025-11-24T15:00:00+00:00
76,chk_76,14,710.7,USD,COMPLETED,,2025-12-26T02:00:00+00:00
77,chk_77,121,613.06,USD,COMPLETED,,2025-12-30T12:00:00+00:00
78,chk_78,136,1048.25,USD,ABANDONED,PAYMENT_METHOD,2025-11-26T04:00:00+00:00
79,chk_79,52,1074.09,USD,ABANDONED,CART_REVIEW,2025-12-16T04:00:00+00:00
80,chk_80,81,236.92,USD,COMPLETED,,2025-11-22T15:00:00+00:00
81,chk_81,86,232.77,USD,COMPLETED,,2025-12-27T01:00:00+00:00
82,chk_82,2,271.02,USD,COMPLETED,,2025-11-27T18:00:00+00:00
83,chk_83,196,177.05,USD,ABANDONED,PAYMENT_METHOD,2025-12-14T20:00:00+00:00
84,chk_84,110,475.4,USD,ABANDONED,SHIPPING_ADDRESS,2025-11-19T17:00:00+00:00
85,chk_85,52,1141.33,USD,COMPLETED,,2025-12-07T16:00:00+00:00
86,chk_86,49,761.36,USD,ABANDONED,PAYMENT_METHOD,2025-12-02T07:00:00+00:00
87,chk_87,178,391.71,USD,COMPLETED,,2025-11-23T12:00:00+00:00
88,chk_88,129,221.25,USD,COMPLETED,,2025-11-19T09:00:00+00:00
89,chk_89,75,636.34,USD,COMPLETED,,2025-12-20T10:00:00+00:00
90,chk_90,112,1194.68,USD,COMPLETED,,2025-12-08T15:00:00+00:00
91,chk_91,92,218.74,USD,COMPLETED,,2025-12-12T00:00:00+00:00
92,chk_92,59,273.15,USD,ABANDONED,PAYMENT_METHOD,2025-11-18T18:00:00+00:00
93,chk_93,130,860.55,USD,ABANDONED,SHIPPING_ADDRESS,2025-11-19T12:00:00+00:00
94,chk_94,164,757.18,USD,ABANDONED,CART_REVIEW,2025-12-25T01:00:00+00:00
95,chk_95,170,81.68,USD,ABANDONED,PAYMENT_METHOD,2025-11-24T13:00:00+00:00
96,chk_96,114,321.97,USD,ABANDONED,CART_REVIEW,2025-12-31T04:00:00+00:00
97,chk_97,53,765.62,USD,COMPLETED,,2025-12-06T13:00:00+00:00
98,chk_98,170,342.22,USD,ABANDONED,CART_REVIEW,2025-12-25T22:00:00+00:00
99,chk_99,36,626.11,USD,ABANDONED,PAYMENT_METHOD,2025-12-26T03:00:00+00:00
100,chk_100,73,609.84,USD,ABANDONED,PAYMENT_METHOD,2025-12-25T06:00:00+00:00
101,chk_101,200,1168.42,USD,ABANDONED,CART_REVIEW,2025-12-09T22:00:00+00:00
102,chk_102,105,669.06,USD,ABANDONED,PAYMENT_METHOD,2025-11-30T22:00:00+00:00
103,chk_103,124,39.98,USD,ABANDONED,PAYMENT_METHOD,2025-11-22T03:00:00+00:00
104,chk_104,147,200.24,USD,COMPLETED,,2025-11-22T16:00:00+00:00
105,chk_105,20,144.02,USD,COMPLETED,,2025-12-03T20:00:00+00:00
106,chk_106,60,1173.32,USD,COMPLETED,,2025-12-03T14:00:00+00:00
107,chk_107,13,1052.12,USD,ABANDONED,PAYMENT_METHOD,2025-12-05T11:00:00+00:00
108,chk_108,174,161.18,USD,ABANDONED,CART_REVIEW,2025-11-19T00:00:00+00:00
109,chk_109,36,225.35,USD,COMPLETED,,2025-12-09T14:00:00+00:00
110,chk_110,160,134.22,USD,ABANDONED,CART_REVIEW,2025-12-08T05:00:00+00:00
111,chk_111,30,344.4,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-11T22:00:00+00:00
112,chk_112,123,787.39,USD,COMPLETED,,2025-11-27T03:00:00+00:00
113,chk_113,34,93.91,USD,COMPLETED,,2025-11-27T03:00:00+00:00
114,chk_114,107,592.14,USD,COMPLETED,,2025-12-23T21:00:00+00:00
115,chk_115,113,940.52,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-26T00:00:00+00:00
116,chk_116,176,879.55,USD,COMPLETED,,2025-11-25T15:00:00+00:00
117,chk_117,125,542.81,USD,ABANDONED,SHIPPING_ADDRESS,2025-11-21T08:00:00+00:00
118,chk_118,168,1045.29,USD,ABANDONED,CART_REVIEW,2025-12-20T23:00:00+00:00
119,chk_119,148,288.18,USD,COMPLETED,,2025-12-29T10:00:00+00:00
120,chk_120,133,848.18,USD,COMPLETED,,2025-11-23T13:00:00+00:00
121,chk_121,170,591.27,USD,COMPLETED,,2025-12-29T21:00:00+00:00
122,chk_122,165,1073.17,USD,ABANDONED,CART_REVIEW,2025-12-26T01:00:00+00:00
123,chk_123,3,209.39,USD,COMPLETED,,2025-12-17T15:00:00+00:00
124,chk_124,43,401.74,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-08T08:00:00+00:00
125,chk_125,13,671.83,USD,COMPLETED,,2025-12-11T12:00:00+00:00
126,chk_126,61,966.48,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-15T02:00:00+00:00
127,chk_127,128,1177.29,USD,ABANDONED,PAYMENT_METHOD,2025-12-28T00:00:00+00:00
128,chk_128,27,679.63,USD,ABANDONED,PAYMENT_METHOD,2025-11-17T02:00:00+00:00
129,chk_129,155,774.11,USD,COMPLETED,,2025-12-19T17:00:00+00:00
130,chk_130,53,561.04,USD,COMPLETED,,2025-12-08T11:00:00+00:00
131,chk_131,14,1017.07,USD,COMPLETED,,2025-12-08T17:00:00+00:00
132,chk_132,197,580.93,USD,COMPLETED,,2025-12-29T11:00:00+00:00
133,chk_133,184,139.49,USD,COMPLETED,,2025-12-29T07:00:00+00:00
134,chk_134,1,1158.21,USD,ABANDONED,CART_REVIEW,2025-12-05T17:00:00+00:00
135,chk_135,134,78.79,USD,ABANDONED,PAYMENT_METHOD,2025-11-27T15:00:00+00:00
136,chk_136,36,897.45,USD,COMPLETED,,2025-12-13T03:00:00+00:00
137,chk_137,66,245.36,USD,COMPLETED,,2025-12-12T06:00:00+00:00
138,chk_138,118,248.93,USD,COMPLETED,,2025-12-08T03:00:00+00:00
139,chk_139,194,1009.02,USD,ABANDONED,CART_REVIEW,2025-12-24T03:00:00+00:00
140,chk_140,198,562.43,USD,COMPLETED,,2025-12-24T16:00:00+00:00
141,chk_141,35,30.1,USD,COMPLETED,,2025-11-20T17:00:00+00:00
142,chk_142,111,592.45,USD,COMPLETED,,2025-12-19T05:00:00+00:00
143,chk_143,178,883.33,USD,COMPLETED,,2025-11-25T03:00:00+00:00
144,chk_144,100,737.24,USD,COMPLETED,,2025-12-07T16:00:00+00:00
145,chk_145,99,1101.19,USD,ABANDONED,CART_REVIEW,2025-12-02T08:00:00+00:00
146,chk_146,102,1165.33,USD,COMPLETED,,2025-12-15T04:00:00+00:00
147,chk_147,36,1066.56,USD,ABANDONED,CART_REVIEW,2025-12-19T09:00:00+00:00
148,chk_148,180,393.85,USD,COMPLETED,,2025-12-22T20:00:00+00:00
149,chk_149,56,864.4,USD,ABANDONED,CART_REVIEW,2025-12-30T11:00:00+00:00
150,chk_150,173,788.85,USD,ABANDONED,CART_REVIEW,2025-11-28T16:00:00+00:00
151,chk_151,139,403.8,USD,COMPLETED,,2025-11-24T11:00:00+00:00
152,chk_152,144,695.5,USD,COMPLETED,,2025-12-29T22:00:00+00:00
153,chk_153,107,1075.29,USD,COMPLETED,,2025-12-21T09:00:00+00:00
154,chk_154,109,639.21,USD,COMPLETED,,2025-11-18T12:00:00+00:00
155,chk_155,38,259.89,USD,ABANDONED,PAYMENT_METHOD,2025-11-27T09:00:00+00:00
156,chk_156,175,836.45,USD,ABANDONED,PAYMENT_METHOD,2025-12-05T06:00:00+00:00
157,chk_157,193,446.45,USD,COMPLETED,,2025-12-15T03:00:00+00:00
158,chk_158,158,893.9,USD,COMPLETED,,2025-12-01T23:00:00+00:00
159,chk_159,166,304.17,USD,COMPLETED,,2025-12-31T09:00:00+00:00
160,chk_160,178,1113.62,USD,COMPLETED,,2025-12-11T13:00:00+00:00
161,chk_161,176,88.22,USD,ABANDONED,CART_REVIEW,2025-12-03T06:00:00+00:00
162,chk_162,159,1036.02,USD,COMPLETED,,2025-12-15T07:00:00+00:00
163,chk_163,163,785.97,USD,COMPLETED,,2025-12-24T17:00:00+00:00
164,chk_164,190,936.97,USD,COMPLETED,,2025-11-29T09:00:00+00:00
165,chk_165,115,112.5,USD,ABANDONED,CART_REVIEW,2025-11-28T23:00:00+00:00
166,chk_166,132,528.5,USD,ABANDONED,PAYMENT_METHOD,2025-12-22T08:00:00+00:00
167,chk_167,34,31.63,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-16T22:00:00+00:00
168,chk_168,40,726.33,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-27T19:00:00+00:00
169,chk_169,170,671.44,USD,ABANDONED,CART_REVIEW,2025-11-21T22:00:00+00:00
170,chk_170,82,1149.46,USD,COMPLETED,,2025-12-20T02:00:00+00:00
171,chk_171,130,656.02,USD,ABANDONED,CART_REVIEW,2025-11-22T11:00:00+00:00
172,chk_172,57,804.42,USD,COMPLETED,,2025-12-08T11:00:00+00:00
173,chk_173,76,648.34,USD,ABANDONED,CART_REVIEW,2025-12-22T20:00:00+00:00
174,chk_174,3,548.66,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-28T19:00:00+00:00
175,chk_175,160,827.0,USD,ABANDONED,PAYMENT_METHOD,2025-12-07T12:00:00+00:00
176,chk_176,30,875.67,USD,ABANDONED,CART_REVIEW,2025-11-18T16:00:00+00:00
177,chk_177,198,548.53,USD,ABANDONED,CART_REVIEW,2025-11-19T09:00:00+00:00
178,chk_178,167,121.76,USD,ABANDONED,CART_REVIEW,2025-11-23T05:00:00+00:00
179,chk_179,198,33.61,USD,COMPLETED,,2025-11-21T06:00:00+00:00
180,chk_180,172,275.48,USD,COMPLETED,,2025-12-30T13:00:00+00:00
181,chk_181,27,1057.4,USD,ABANDONED,CART_REVIEW,2025-12-14T20:00:00+00:00
182,chk_182,19,205.66,USD,COMPLETED,,2025-12-16T22:00:00+00:00
183,chk_183,85,88.76,USD,ABANDONED,PAYMENT_METHOD,2025-12-03T17:00:00+00:00
184,chk_184,19,292.48,USD,COMPLETED,,2025-12-03T13:00:00+00:00
185,chk_185,100,500.23,USD,COMPLETED,,2025-12-07T00:00:00+00:00
186,chk_186,100,653.43,USD,COMPLETED,,2025-12-28T23:00:00+00:00
187,chk_187,159,713.09,USD,ABANDONED,CART_REVIEW,2025-12-31T02:00:00+00:00
188,chk_188,92,149.71,USD,COMPLETED,,2025-12-30T09:00:00+00:00
189,chk_189,156,473.16,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-29T00:00:00+00:00
190,chk_190,122,185.25,USD,ABANDONED,PAYMENT_METHOD,2025-12-12T17:00:00+00:00
191,chk_191,76,194.29,USD,COMPLETED,,2025-12-30T23:00:00+00:00
192,chk_192,166,675.39,USD,ABANDONED,PAYMENT_METHOD,2025-12-22T04:00:00+00:00
193,chk_193,32,726.07,USD,ABANDONED,CART_REVIEW,2025-12-21T17:00:00+00:00
194,chk_194,22,896.18,USD,ABANDONED,CART_REVIEW,2025-12-09T06:00:00+00:00
195,chk_195,106,1025.46,USD,COMPLETED,,2025-11-26T05:00:00+00:00
196,chk_196,48,253.33,USD,ABANDONED,SHIPPING_ADDRESS,2025-11-28T21:00:00+00:00
197,chk_197,146,1025.38,USD,COMPLETED,,2025-12-22T14:00:00+00:00
198,chk_198,166,366.52,USD,COMPLETED,,2025-11-21T08:00:00+00:00
199,chk_199,26,597.45,USD,ABANDONED,CART_REVIEW,2025-12-08T11:00:00+00:00
200,chk_200,33,300.58,USD,COMPLETED,,2025-12-05T19:00:00+00:00
201,chk_201,18,398.4,USD,COMPLETED,,2025-12-15T10:00:00+00:00
202,chk_202,158,839.81,USD,COMPLETED,,2025-11-26T18:00:00+00:00
203,chk_203,146,1151.42,USD,ABANDONED,SHIPPING_ADDRESS,2025-11-27T00:00:00+00:00
204,chk_204,81,861.83,USD,ABANDONED,PAYMENT_METHOD,2025-12-28T13:00:00+00:00
205,chk_205,71,182.81,USD,COMPLETED,,2025-12-08T15:00:00+00:00
206,chk_206,119,597.19,USD,ABANDONED,SHIPPING_ADDRESS,2025-11-23T05:00:00+00:00
207,chk_207,166,1014.11,USD,COMPLETED,,2025-11-25T17:00:00+00:00
208,chk_208,51,114.84,USD,ABANDONED,CART_REVIEW,2025-11-21T00:00:00+00:00
209,chk_209,130,979.85,USD,COMPLETED,,2025-12-24T12:00:00+00:00
210,chk_210,197,1089.91,USD,COMPLETED,,2025-12-22T08:00:00+00:00
211,chk_211,140,659.12,USD,COMPLETED,,2025-12-28T04:00:00+00:00
212,chk_212,94,886.54,USD,ABANDONED,CART_REVIEW,2025-12-05T04:00:00+00:00
213,chk_213,119,131.4,USD,COMPLETED,,2025-12-10T16:00:00+00:00
214,chk_214,3,1021.38,USD,COMPLETED,,2025-12-26T21:00:00+00:00
215,chk_215,43,189.94,USD,COMPLETED,,2025-11-27T05:00:00+00:00
216,chk_216,145,799.81,USD,COMPLETED,,2025-11-26T23:00:00+00:00
217,chk_217,188,446.58,USD,COMPLETED,,2025-12-01T15:00:00+00:00
218,chk_218,60,299.97,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-29T06:00:00+00:00
219,chk_219,133,449.47,USD,COMPLETED,,2025-12-17T14:00:00+00:00
220,chk_220,12,405.78,USD,ABANDONED,CART_REVIEW,2026-01-01T16:00:00+00:00
221,chk_221,163,1005.97,USD,COMPLETED,,2025-12-03T18:00:00+00:00
222,chk_222,140,467.57,USD,COMPLETED,,2025-12-11T11:00:00+00:00
223,chk_223,151,1006.68,USD,COMPLETED,,2025-12-20T08:00:00+00:00
224,chk_224,97,286.91,USD,COMPLETED,,2025-12-12T11:00:00+00:00
225,chk_225,89,591.48,USD,COMPLETED,,2025-12-25T00:00:00+00:00
226,chk_226,129,541.88,USD,COMPLETED,,2025-12-01T02:00:00+00:00
227,chk_227,132,273.53,USD,COMPLETED,,2025-11-28T05:00:00+00:00
228,chk_228,93,984.92,USD,COMPLETED,,2025-12-29T07:00:00+00:00
229,chk_229,107,871.3,USD,COMPLETED,,2025-12-17T21:00:00+00:00
230,chk_230,123,719.18,USD,COMPLETED,,2025-12-28T13:00:00+00:00
231,chk_231,6,698.85,USD,ABANDONED,PAYMENT_METHOD,2025-11-27T04:00:00+00:00
232,chk_232,162,1071.69,USD,COMPLETED,,2025-11-26T01:00:00+00:00
233,chk_233,43,632.05,USD,ABANDONED,PAYMENT_METHOD,2025-12-12T19:00:00+00:00
234,chk_234,145,1057.25,USD,COMPLETED,,2025-12-29T09:00:00+00:00
235,chk_235,22,1191.51,USD,ABANDONED,CART_REVIEW,2025-12-17T05:00:00+00:00
236,chk_236,57,730.99,USD,COMPLETED,,2025-12-24T05:00:00+00:00
237,chk_237,160,335.81,USD,COMPLETED,,2025-12-30T10:00:00+00:00
238,chk_238,117,105.89,USD,COMPLETED,,2025-12-11T12:00:00+00:00
239,chk_239,34,639.19,USD,ABANDONED,PAYMENT_METHOD,2025-12-19T21:00:00+00:00
240,chk_240,108,736.48,USD,COMPLETED,,2025-11-28T15:00:00+00:00
241,chk_241,158,1056.36,USD,COMPLETED,,2025-12-21T16:00:00+00:00
242,chk_242,193,799.79,USD,ABANDONED,SHIPPING_ADDRESS,2025-12-25T17:00:00+00:00
243,chk_243,1,935.47,USD,COMPLETED,,2025-12-28T13:00:00+00:00
244,chk_244,134,844.73,USD,ABANDONED,PAYMENT_METHOD,2025-12-14T07:00:00+00:00
245,chk_245,124,472.95,USD,COMPLETED,,2025-12-24T23:00:00+00:00
246,chk_246,195,701.94,USD,COMPLETED,,2025-12-14T04:00:00+00:00
247,chk_247,66,298.2,USD,COMPLETED,,2025-11-22T09:00:00+00:00
248,chk_248,154,505.16,USD,COMPLETED,,2025-11-29T00:00:00+00:00
249,chk_249,182,33.36,USD,COMPLETED,,2025-12-20T03:00:00+00:00
250,chk_250,134,266.37,USD,ABANDONED,CART_REVIEW,2025-12-07T13:00:00+00:00
